n,kernel,sample_count,kernel_median_ms,kernel_q1_ms,kernel_q3_ms,kernel_iqr_ms,device_path_median_ms,device_path_q1_ms,device_path_q3_ms,device_path_iqr_ms,kernel_baseline_median_ms,kernel_speedup,device_path_baseline_median_ms,device_path_speedup
128,int32,30,0.964000000,0.962000000,0.966000000,0.004000000,2.443040500,2.305506500,2.520486500,0.214980000,0.964000000,1.000000000,2.443040500,1.000000000
128,int8,30,0.958000000,0.958000000,0.958750000,0.000750000,2.669985500,2.460788000,2.785256000,0.324468000,0.964000000,1.006263048,2.443040500,0.915001411
128,int4,30,0.959000000,0.959000000,0.959000000,0.000000000,2.720193000,2.488586500,2.980561250,0.491974750,0.964000000,1.005213764,2.443040500,0.898112928
256,int32,30,7.742500000,7.696500000,7.837250000,0.140750000,11.788551000,11.228466000,12.385262250,1.156796250,7.742500000,1.000000000,11.788551000,1.000000000
256,int8,30,7.650500000,7.646250000,7.654750000,0.008500000,12.015549500,11.701901000,12.268379250,0.566478250,7.742500000,1.012025358,11.788551000,0.981107939
256,int4,30,7.639000000,7.634000000,7.641750000,0.007750000,11.796780500,11.624300000,12.248704250,0.624404250,7.742500000,1.013548894,11.788551000,0.999302394
512,int32,30,62.278000000,62.198500000,62.373750000,0.175250000,75.414742000,75.003103000,76.024629250,1.021526250,62.278000000,1.000000000,75.414742000,1.000000000
512,int8,30,61.554000000,61.349750000,61.700500000,0.350750000,72.524997500,72.291320750,73.370255000,1.078934250,62.278000000,1.011762030,75.414742000,1.039844807
512,int4,30,61.195500000,61.142000000,61.230500000,0.088500000,71.772237000,71.382667000,72.560543250,1.177876250,62.278000000,1.017689209,75.414742000,1.050750891
1024,int32,30,505.481500000,504.250250000,506.013500000,1.763250000,536.200925500,533.778651250,537.217061500,3.438410250,505.481500000,1.000000000,536.200925500,1.000000000
1024,int8,30,497.869000000,496.258750000,498.288250000,2.029500000,507.048726500,505.897333500,508.318552750,2.421219250,505.481500000,1.015290167,536.200925500,1.057493881
1024,int4,30,496.435500000,496.068750000,496.604000000,0.535250000,505.328679000,504.495479500,506.024970500,1.529491000,505.481500000,1.018221904,536.200925500,1.061093399
