n,kernel,trial,seed,kernel_ms,device_path_ms,input_bytes,output_bytes,mismatches
128,int32,1,237,0.971000000,2.467571000,131072,65536,0
128,int32,2,237,0.969000000,2.376741000,131072,65536,0
128,int32,3,237,0.964000000,2.406323000,131072,65536,0
128,int32,4,237,0.961000000,2.434551000,131072,65536,0
128,int32,5,237,0.961000000,2.455280000,131072,65536,0
128,int32,6,237,0.972000000,2.511893000,131072,65536,0
128,int32,7,237,0.968000000,2.671835000,131072,65536,0
128,int32,8,237,0.966000000,2.523351000,131072,65536,0
128,int32,9,237,0.963000000,2.418406000,131072,65536,0
128,int32,10,237,0.967000000,2.291432000,131072,65536,0
128,int32,11,237,0.966000000,2.451530000,131072,65536,0
128,int32,12,237,0.966000000,2.675064000,131072,65536,0
128,int32,13,237,0.964000000,2.433510000,131072,65536,0
128,int32,14,237,0.961000000,2.476321000,131072,65536,0
128,int32,15,237,0.962000000,2.296275000,131072,65536,0
128,int32,16,237,0.963000000,2.357262000,131072,65536,0
128,int32,17,237,0.963000000,2.333201000,131072,65536,0
128,int32,18,237,0.961000000,2.174092000,131072,65536,0
128,int32,19,237,0.962000000,2.256381000,131072,65536,0
128,int32,20,237,0.966000000,2.612722000,131072,65536,0
128,int32,21,237,0.965000000,3.023125000,131072,65536,0
128,int32,22,237,0.963000000,2.633138000,131072,65536,0
128,int32,23,237,0.962000000,2.260131000,131072,65536,0
128,int32,24,237,0.961000000,2.490695000,131072,65536,0
128,int32,25,237,0.965000000,2.509341000,131072,65536,0
128,int32,26,237,0.961000000,2.680168000,131072,65536,0
128,int32,27,237,0.964000000,2.754749000,131072,65536,0
128,int32,28,237,0.964000000,2.248308000,131072,65536,0
128,int32,29,237,0.963000000,2.068575000,131072,65536,0
128,int32,30,237,0.964000000,2.204716000,131072,65536,0
128,int8,1,237,0.959000000,2.803081000,32768,65536,0
128,int8,2,237,0.960000000,2.435177000,32768,65536,0
128,int8,3,237,0.958000000,2.710635000,32768,65536,0
128,int8,4,237,0.958000000,2.815996000,32768,65536,0
128,int8,5,237,0.959000000,2.422937000,32768,65536,0
128,int8,6,237,0.958000000,2.325493000,32768,65536,0
128,int8,7,237,0.958000000,2.560850000,32768,65536,0
128,int8,8,237,0.958000000,2.339554000,32768,65536,0
128,int8,9,237,0.958000000,2.583556000,32768,65536,0
128,int8,10,237,0.958000000,2.608139000,32768,65536,0
128,int8,11,237,0.958000000,2.537621000,32768,65536,0
128,int8,12,237,0.958000000,2.188570000,32768,65536,0
128,int8,13,237,0.958000000,2.667668000,32768,65536,0
128,int8,14,237,0.959000000,2.696990000,32768,65536,0
128,int8,15,237,0.959000000,2.677772000,32768,65536,0
128,int8,16,237,0.958000000,2.676991000,32768,65536,0
128,int8,17,237,0.958000000,2.968960000,32768,65536,0
128,int8,18,237,0.958000000,2.951669000,32768,65536,0
128,int8,19,237,0.958000000,2.830215000,32768,65536,0
128,int8,20,237,0.958000000,2.837871000,32768,65536,0
128,int8,21,237,0.958000000,2.672303000,32768,65536,0
128,int8,22,237,0.958000000,2.731781000,32768,65536,0
128,int8,23,237,0.959000000,3.047499000,32768,65536,0
128,int8,24,237,0.958000000,3.001042000,32768,65536,0
128,int8,25,237,0.959000000,2.679074000,32768,65536,0
128,int8,26,237,0.958000000,2.422625000,32768,65536,0
128,int8,27,237,0.958000000,2.389553000,32768,65536,0
128,int8,28,237,0.958000000,2.243776000,32768,65536,0
128,int8,29,237,0.958000000,2.613035000,32768,65536,0
128,int8,30,237,0.959000000,2.587879000,32768,65536,0
128,int4,1,237,0.959000000,2.487571000,16384,65536,0
128,int4,2,237,0.959000000,2.285755000,16384,65536,0
128,int4,3,237,0.959000000,2.981564000,16384,65536,0
128,int4,4,237,0.959000000,2.885109000,16384,65536,0
128,int4,5,237,0.959000000,2.491633000,16384,65536,0
128,int4,6,237,0.959000000,2.887921000,16384,65536,0
128,int4,7,237,0.959000000,2.283515000,16384,65536,0
128,int4,8,237,0.959000000,2.589129000,16384,65536,0
128,int4,9,237,0.959000000,2.846933000,16384,65536,0
128,int4,10,237,0.959000000,2.514809000,16384,65536,0
128,int4,11,237,0.959000000,3.107757000,16384,65536,0
128,int4,12,237,0.959000000,2.665638000,16384,65536,0
128,int4,13,237,0.959000000,2.774748000,16384,65536,0
128,int4,14,237,0.959000000,3.259939000,16384,65536,0
128,int4,15,237,0.959000000,2.567724000,16384,65536,0
128,int4,16,237,0.959000000,2.158259000,16384,65536,0
128,int4,17,237,0.959000000,3.065519000,16384,65536,0
128,int4,18,237,0.959000000,2.343096000,16384,65536,0
128,int4,19,237,0.959000000,2.982762000,16384,65536,0
128,int4,20,237,0.959000000,2.977553000,16384,65536,0
128,int4,21,237,0.959000000,3.026823000,16384,65536,0
128,int4,22,237,0.959000000,2.977188000,16384,65536,0
128,int4,23,237,0.959000000,2.269192000,16384,65536,0
128,int4,24,237,0.958000000,3.292074000,16384,65536,0
128,int4,25,237,0.959000000,3.864554000,16384,65536,0
128,int4,26,237,0.959000000,2.467987000,16384,65536,0
128,int4,27,237,0.959000000,2.870839000,16384,65536,0
128,int4,28,237,0.959000000,2.530121000,16384,65536,0
128,int4,29,237,0.959000000,2.097792000,16384,65536,0
128,int4,30,237,0.959000000,2.493247000,16384,65536,0
256,int32,1,237,7.681000000,10.878115000,524288,262144,0
256,int32,2,237,7.680000000,10.932852000,524288,262144,0
256,int32,3,237,7.705000000,10.505575000,524288,262144,0
256,int32,4,237,7.726000000,11.100971000,524288,262144,0
256,int32,5,237,7.741000000,11.618402000,524288,262144,0
256,int32,6,237,7.676000000,12.303117000,524288,262144,0
256,int32,7,237,7.671000000,10.932644000,524288,262144,0
256,int32,8,237,7.688000000,11.138991000,524288,262144,0
256,int32,9,237,7.668000000,13.923999000,524288,262144,0
256,int32,10,237,7.675000000,11.675899000,524288,262144,0
256,int32,11,237,7.736000000,11.968546000,524288,262144,0
256,int32,12,237,7.744000000,11.745948000,524288,262144,0
256,int32,13,237,7.741000000,11.478771000,524288,262144,0
256,int32,14,237,7.694000000,11.216331000,524288,262144,0
256,int32,15,237,7.707000000,10.967590000,524288,262144,0
256,int32,16,237,7.744000000,11.725637000,524288,262144,0
256,int32,17,237,7.869000000,11.264871000,524288,262144,0
256,int32,18,237,7.855000000,12.412644000,524288,262144,0
256,int32,19,237,7.815000000,11.476375000,524288,262144,0
256,int32,20,237,7.704000000,12.244474000,524288,262144,0
256,int32,21,237,7.880000000,11.898808000,524288,262144,0
256,int32,22,237,7.851000000,12.159060000,524288,262144,0
256,int32,23,237,7.895000000,11.831154000,524288,262144,0
256,int32,24,237,7.852000000,12.114061000,524288,262144,0
256,int32,25,237,7.816000000,12.623887000,524288,262144,0
256,int32,26,237,7.853000000,12.706853000,524288,262144,0
256,int32,27,237,7.838000000,12.617116000,524288,262144,0
256,int32,28,237,7.770000000,12.681854000,524288,262144,0
256,int32,29,237,7.835000000,12.908201000,524288,262144,0
256,int32,30,237,7.830000000,12.631543000,524288,262144,0
256,int8,1,237,7.654000000,10.454223000,131072,262144,0
256,int8,2,237,7.667000000,13.246939000,131072,262144,0
256,int8,3,237,7.623000000,12.425509000,131072,262144,0
256,int8,4,237,7.659000000,11.793864000,131072,262144,0
256,int8,5,237,7.639000000,12.082135000,131072,262144,0
256,int8,6,237,7.631000000,11.180812000,131072,262144,0
256,int8,7,237,7.630000000,11.279142000,131072,262144,0
256,int8,8,237,7.638000000,11.672358000,131072,262144,0
256,int8,9,237,7.667000000,11.958754000,131072,262144,0
256,int8,10,237,7.653000000,11.684597000,131072,262144,0
256,int8,11,237,7.655000000,12.094375000,131072,262144,0
256,int8,12,237,7.652000000,12.655085000,131072,262144,0
256,int8,13,237,7.650000000,11.245185000,131072,262144,0
256,int8,14,237,7.647000000,12.463163000,131072,262144,0
256,int8,15,237,7.655000000,11.918808000,131072,262144,0
256,int8,16,237,7.647000000,12.315409000,131072,262144,0
256,int8,17,237,7.650000000,12.295514000,131072,262144,0
256,int8,18,237,7.650000000,11.405283000,131072,262144,0
256,int8,19,237,7.638000000,12.456029000,131072,262144,0
256,int8,20,237,7.637000000,12.043856000,131072,262144,0
256,int8,21,237,7.646000000,11.962504000,131072,262144,0
256,int8,22,237,7.648000000,11.753813000,131072,262144,0
256,int8,23,237,7.651000000,11.781781000,131072,262144,0
256,int8,24,237,7.653000000,12.131144000,131072,262144,0
256,int8,25,237,7.652000000,12.088750000,131072,262144,0
256,int8,26,237,7.652000000,12.047917000,131072,262144,0
256,int8,27,237,7.657000000,11.987243000,131072,262144,0
256,int8,28,237,7.659000000,12.416551000,131072,262144,0
256,int8,29,237,7.657000000,12.186975000,131072,262144,0
256,int8,30,237,7.648000000,11.257841000,131072,262144,0
256,int4,1,237,7.645000000,11.828915000,65536,262144,0
256,int4,2,237,7.633000000,10.846136000,65536,262144,0
256,int4,3,237,7.631000000,10.940821000,65536,262144,0
256,int4,4,237,7.648000000,11.764646000,65536,262144,0
256,int4,5,237,7.628000000,13.655570000,65536,262144,0
256,int4,6,237,7.634000000,11.412835000,65536,262144,0
256,int4,7,237,7.626000000,11.660222000,65536,262144,0
256,int4,8,237,7.629000000,12.893253000,65536,262144,0
256,int4,9,237,7.643000000,13.353914000,65536,262144,0
256,int4,10,237,7.620000000,13.734474000,65536,262144,0
256,int4,11,237,7.643000000,12.734509000,65536,262144,0
256,int4,12,237,7.643000000,11.935109000,65536,262144,0
256,int4,13,237,7.641000000,12.344679000,65536,262144,0
256,int4,14,237,7.644000000,11.987659000,65536,262144,0
256,int4,15,237,7.641000000,11.916881000,65536,262144,0
256,int4,16,237,7.639000000,12.563577000,65536,262144,0
256,int4,17,237,7.639000000,11.618506000,65536,262144,0
256,int4,18,237,7.643000000,12.124373000,65536,262144,0
256,int4,19,237,7.637000000,11.751521000,65536,262144,0
256,int4,20,237,7.639000000,11.704336000,65536,262144,0
256,int4,21,237,7.640000000,11.731470000,65536,262144,0
256,int4,22,237,7.631000000,11.600329000,65536,262144,0
256,int4,23,237,7.635000000,11.641682000,65536,262144,0
256,int4,24,237,7.637000000,11.761782000,65536,262144,0
256,int4,25,237,7.641000000,11.593090000,65536,262144,0
256,int4,26,237,7.639000000,11.484448000,65536,262144,0
256,int4,27,237,7.634000000,11.418147000,65536,262144,0
256,int4,28,237,7.642000000,12.290148000,65536,262144,0
256,int4,29,237,7.639000000,12.023179000,65536,262144,0
256,int4,30,237,7.637000000,12.039480000,65536,262144,0
512,int32,1,237,62.566000000,73.822870000,2097152,1048576,0
512,int32,2,237,62.860000000,75.549893000,2097152,1048576,0
512,int32,3,237,62.485000000,74.829033000,2097152,1048576,0
512,int32,4,237,62.054000000,78.750981000,2097152,1048576,0
512,int32,5,237,61.599000000,77.761744000,2097152,1048576,0
512,int32,6,237,61.733000000,72.440990000,2097152,1048576,0
512,int32,7,237,62.209000000,76.032064000,2097152,1048576,0
512,int32,8,237,62.243000000,76.017325000,2097152,1048576,0
512,int32,9,237,62.214000000,76.027064000,2097152,1048576,0
512,int32,10,237,62.361000000,75.851289000,2097152,1048576,0
512,int32,11,237,62.331000000,74.847783000,2097152,1048576,0
512,int32,12,237,62.082000000,75.108294000,2097152,1048576,0
512,int32,13,237,62.403000000,74.985799000,2097152,1048576,0
512,int32,14,237,62.271000000,75.907329000,2097152,1048576,0
512,int32,15,237,62.332000000,75.394222000,2097152,1048576,0
512,int32,16,237,62.305000000,74.025935000,2097152,1048576,0
512,int32,17,237,62.332000000,78.208760000,2097152,1048576,0
512,int32,18,237,62.052000000,74.192961000,2097152,1048576,0
512,int32,19,237,62.437000000,75.829571000,2097152,1048576,0
512,int32,20,237,62.251000000,74.656956000,2097152,1048576,0
512,int32,21,237,62.221000000,75.275372000,2097152,1048576,0
512,int32,22,237,62.153000000,75.055015000,2097152,1048576,0
512,int32,23,237,62.382000000,75.181573000,2097152,1048576,0
512,int32,24,237,62.378000000,75.769260000,2097152,1048576,0
512,int32,25,237,62.285000000,76.628606000,2097152,1048576,0
512,int32,26,237,62.195000000,75.403440000,2097152,1048576,0
512,int32,27,237,62.359000000,75.246623000,2097152,1048576,0
512,int32,28,237,62.184000000,75.426044000,2097152,1048576,0
512,int32,29,237,62.247000000,77.013228000,2097152,1048576,0
512,int32,30,237,62.391000000,76.235807000,2097152,1048576,0
512,int8,1,237,61.638000000,72.939411000,524288,1048576,0
512,int8,2,237,61.244000000,72.362972000,524288,1048576,0
512,int8,3,237,61.382000000,73.345334000,524288,1048576,0
512,int8,4,237,61.247000000,71.421078000,524288,1048576,0
512,int8,5,237,61.705000000,73.321168000,524288,1048576,0
512,int8,6,237,61.608000000,73.378562000,524288,1048576,0
512,int8,7,237,61.500000000,73.601211000,524288,1048576,0
512,int8,8,237,61.462000000,73.901929000,524288,1048576,0
512,int8,9,237,61.431000000,71.210616000,524288,1048576,0
512,int8,10,237,61.391000000,76.118363000,524288,1048576,0
512,int8,11,237,61.079000000,72.855507000,524288,1048576,0
512,int8,12,237,61.232000000,72.147302000,524288,1048576,0
512,int8,13,237,61.440000000,75.201416000,524288,1048576,0
512,int8,14,237,61.742000000,72.281412000,524288,1048576,0
512,int8,15,237,61.681000000,71.661695000,524288,1048576,0
512,int8,16,237,61.722000000,72.321047000,524288,1048576,0
512,int8,17,237,61.617000000,71.801012000,524288,1048576,0
512,int8,18,237,61.487000000,72.399117000,524288,1048576,0
512,int8,19,237,61.640000000,72.700930000,524288,1048576,0
512,int8,20,237,61.620000000,75.279434000,524288,1048576,0
512,int8,21,237,61.794000000,73.724227000,524288,1048576,0
512,int8,22,237,61.712000000,72.399169000,524288,1048576,0
512,int8,23,237,61.687000000,71.869343000,524288,1048576,0
512,int8,24,237,61.934000000,73.312106000,524288,1048576,0
512,int8,25,237,61.781000000,72.616557000,524288,1048576,0
512,int8,26,237,61.272000000,72.433438000,524288,1048576,0
